File	chunk	chunk_Start	chunk_End	words_Chunk	words_per_second	syllable_count	syllables_per_second
ara001	1	0	45.50530612244898	106	2.3293986796785306	261	5.735594862227325
ara002	1	0	28.133877551020408	85	3.021268570102136	240	8.530640668523677
ara003	1	0	48.27428571428572	114	2.3615056818181817	269	5.5723248106060606
ara004	1	0	23.3534693877551	82	3.5112555928411635	237	10.148385067114095
ara005	1	0	31.503673469387756	93	2.9520366915422884	247	7.840355514096186
ara006	1	0	26.383673469387755	86	3.2595915841584158	241	9.134436881188119
ara007	1	0	30.328163265306124	89	2.934566106804479	244	8.045327304048234
ara008	1	0	28.55183673469388	86	3.0120654162854525	241	8.440787968892956
ara009	1	0	34.76897959183673	87	2.5022304658151766	242	6.960227272727273
ara010	1	0	37.25061224489796	95	2.550293653576438	249	6.68445389200561
ara011	1	0	32.60081632653061	90	2.7606670673076925	245	7.515149238782051
ara012	1	0	39.758367346938776	110	2.76671320630749	264	6.640111695137977
ara013	1	0	30.30204081632653	92	3.0360991379310343	246	8.118265086206897
ara014	1	0	49.005714285714284	95	1.9385494402985075	250	5.101445895522389
ara015	1	0	37.4334693877551	103	2.751548325191905	256	6.8387997208653175
ara016	1	0	20.323265306122448	77	3.7887612467866325	231	11.366283740359899
ara017	1	0	22.543673469387755	81	3.5930257821552725	234	10.379852259559675
ara018	1	0	28.44734693877551	87	3.0582816804407713	242	8.506944444444445
ara019	1	0	38.347755102040814	101	2.6337917234332426	255	6.649672173024523
ara020	1	0	26.671020408163265	88	3.2994613124387855	241	9.03602473065622
ara021	1	0	27.820408163265306	85	3.05531103286385	239	8.59081572769953
ara022	1	0	28.525714285714287	79	2.76943108974359	234	8.203125
ara023	1	0	28.55183673469388	85	2.977041399817017	240	8.40576395242452
ara024	1	0	41.16897959183674	103	2.5018837246192893	256	6.218274111675126
ara025	1	0	32.626938775510204	94	2.8810548438751002	249	7.6317303843074455
ara026	1	0	39.993469387755106	105	2.6254286414108425	260	6.501061397779229
ara029	1	0	35.70938775510204	101	2.828387893196781	256	7.168983174835406
ara030	1	0	23.484081632653062	86	3.6620550611790876	240	10.219688542825361
ara031	1	0	49.08408163265306	110	2.2410524215007985	264	5.378525811601916
ara032	1	0	27.794285714285714	83	2.9862253289473686	238	8.562911184210526
ara033	1	0	40.777142857142856	100	2.4523542600896864	255	6.2535033632287
ara034	1	0	22.59591836734694	76	3.3634393063583814	229	10.134573699421965
ara035	1	0	30.14530612244898	93	3.0850574090121317	248	8.226819757365686
ara036	1	0	38.582857142857144	102	2.643661137440758	255	6.609152843601896
ara037	1	0	20.793469387755103	79	3.7992697864321605	233	11.20544126884422
ara038	1	0	32.052244897959184	81	2.5271240831295843	236	7.3629788101059495
ara039	1	0	32.70530612244898	90	2.7518470447284344	244	7.460563099041533
ara040	1	0	35.23918367346939	93	2.6391076723498887	248	7.037620459599703
ara041	1	0	37.06775510204081	98	2.6438072586328403	253	6.825339147286822
ara043	1	0	31.32081632653061	89	2.8415606755629694	244	7.79034612176814
ara044	1	0	32.496326530612244	91	2.8003165192926045	246	7.570086414790997
ara045	1	0	41.221224489795915	93	2.256119296577947	248	6.016318124207858
ara046	1	0	36.67591836734694	96	2.6175213675213675	248	6.7619301994302
ara048	1	0	35.13469387755102	93	2.646956319702602	248	7.058550185873606
ara049	1	0	39.26204081632653	98	2.4960495675316032	252	6.418413173652694
ara050	1	0	39.497142857142855	92	2.3292824074074074	247	6.253616898148149
ara051	1	0	25.86122448979592	78	3.016098484848485	233	9.009627525252524
ara052	1	0	26.070204081632653	80	3.0686372745490984	234	8.975764028056112
ara053	1	0	31.947755102040816	86	2.6918949304987736	241	7.543566026165168
ara054	1	0	23.823673469387757	80	3.3580043859649122	234	9.822162828947368
ara055	1	0	33.35836734693878	83	2.4881313625685197	238	7.13464173844949
ara056	1	0	26.568	87	3.274616079494128	242	9.108702198133091
ara057	1	0	24.946938775510205	79	3.1667212041884816	234	9.37990837696335
ara058	1	0	26.827755102040815	81	3.0192611976630968	235	8.759584956183058
ara059	1	0	25.521632653061225	82	3.212960593654043	237	9.286239764585465
ara060	1	0	39.183673469387756	82	2.0927083333333334	236	6.022916666666666
ara061	1	0	21.681632653061225	77	3.5513930722891565	232	10.700301204819278
ara062	1	0	48.9534693877551	106	2.1653215048025616	259	5.290738393810033
ara063	1	0	43.07591836734694	102	2.367912371134021	257	5.966210582171013
ara064	1	0	25.129795918367346	78	3.103885135135135	232	9.232068607068607
ara065	1	0	29.962448979591837	81	2.7033838273757627	236	7.876525719267654
ara066	1	0	47.542857142857144	109	2.292668269230769	263	5.531850961538462
ara067	1	0	39.78448979591837	99	2.488406927117531	253	6.359262147078135
ara068	1	0	36.623673469387754	98	2.6758648359486448	253	6.908100035663338
ara069	1	0	28.813061224489797	94	3.2624093381686308	249	8.641914097914778
ara070	1	0	30.040816326530614	91	3.029211956521739	246	8.188858695652174
eng002	1	0	21.15918367346939	79	3.7336033950617282	231	10.91724537037037
eng011	1	0	21.002448979591836	80	3.80907960199005	232	11.046330845771145
eng012	1	0	25.417142857142856	80	3.147482014388489	232	9.127697841726619
eng013	1	0	25.103673469387754	77	3.0672801768990636	230	9.162005723204995
eng014	1	0	19.2	77	4.010416666666667	230	11.979166666666668
eng024	1	0	21.263673469387754	79	3.71525644963145	231	10.863597972972974
eng038	1	0	23.797551020408164	79	3.3196693194291984	231	9.706881174533478
eng040	1	0	25.75673469387755	79	3.0671589756592295	231	8.968528144016227
eng056	1	0	22.256326530612245	80	3.5944835680751175	233	10.46893339201878
