Count,Inserted_Word,Filename
1,step,d-rea1-f5_hyp.trn.dtl
1,a,d-rea1-f6_hyp.trn.dtl
1,and,d-rea1-f6_hyp.trn.dtl
1,good,d-rea1-f6_hyp.trn.dtl
1,he,d-rea1-f6_hyp.trn.dtl
1,step,d-rea1-f6_hyp.trn.dtl
1,to,d-rea1-f6_hyp.trn.dtl
1,all,d-rea1-m1_hyp.trn.dtl
1,and,d-rea1-m1_hyp.trn.dtl
1,had,d-rea1-m1_hyp.trn.dtl
1,its,d-rea1-m1_hyp.trn.dtl
1,sin,d-rea1-m1_hyp.trn.dtl
1,sort,d-rea1-m1_hyp.trn.dtl
1,steps,d-rea1-m1_hyp.trn.dtl
1,step,d-rea1-m2_hyp.trn.dtl
1,that,d-rea1-m2_hyp.trn.dtl
1,some,d-rea1-m3_hyp.trn.dtl
1,step,d-rea1-m3_hyp.trn.dtl
1,huh,d-rea1-m4_hyp.trn.dtl
1,listen,d-rea1-m4_hyp.trn.dtl
1,to,d-rea1-m4_hyp.trn.dtl
1,uh,d-rea1-m4_hyp.trn.dtl
1,with,d-rea1-m4_hyp.trn.dtl
1,a,d-rea1-m6_hyp.trn.dtl
1,old,j-rea1-f1_hyp.trn.dtl
1,step,j-rea1-f1_hyp.trn.dtl
1,year,j-rea1-f1_hyp.trn.dtl
1,a,j-rea1-f2_hyp.trn.dtl
1,all,j-rea1-f2_hyp.trn.dtl
1,her,j-rea1-f2_hyp.trn.dtl
2,the,j-rea1-f3_hyp.trn.dtl
1,by,j-rea1-f3_hyp.trn.dtl
1,right,j-rea1-f3_hyp.trn.dtl
1,step,j-rea1-f3_hyp.trn.dtl
1,brushes,j-rea1-f4_hyp.trn.dtl
1,had,j-rea1-f4_hyp.trn.dtl
1,hair,j-rea1-f4_hyp.trn.dtl
1,i,j-rea1-f4_hyp.trn.dtl
1,step,j-rea1-f4_hyp.trn.dtl
1,they,j-rea1-f4_hyp.trn.dtl
1,were,j-rea1-f4_hyp.trn.dtl
1,define,j-rea1-f5_hyp.trn.dtl
1,rose,j-rea1-f5_hyp.trn.dtl
1,step,j-rea1-f5_hyp.trn.dtl
1,the,j-rea1-f6_hyp.trn.dtl
1,step,j-rea1-f7_hyp.trn.dtl
1,step,j-rea1-m1_hyp.trn.dtl
1,the,j-rea1-m1_hyp.trn.dtl
1,and,j-rea1-m2_hyp.trn.dtl
1,by,j-rea1-m2_hyp.trn.dtl
1,ever,j-rea1-m2_hyp.trn.dtl
1,step,j-rea1-m2_hyp.trn.dtl
1,um,j-rea1-m2_hyp.trn.dtl
1,all,j-rea1-m3_hyp.trn.dtl
1,and,j-rea1-m3_hyp.trn.dtl
1,by,j-rea1-m3_hyp.trn.dtl
1,close,j-rea1-m3_hyp.trn.dtl
1,find,j-rea1-m3_hyp.trn.dtl
1,is,j-rea1-m3_hyp.trn.dtl
1,jumped,j-rea1-m3_hyp.trn.dtl
1,queen,j-rea1-m3_hyp.trn.dtl
1,step,j-rea1-m3_hyp.trn.dtl
1,to,j-rea1-m3_hyp.trn.dtl
1,us,j-rea1-m3_hyp.trn.dtl
1,yard,j-rea1-m3_hyp.trn.dtl
1,a,j-rea1-m4_hyp.trn.dtl
1,cindy,j-rea1-m4_hyp.trn.dtl
1,foot,j-rea1-m4_hyp.trn.dtl
1,lillian,j-rea1-m4_hyp.trn.dtl
1,rose,j-rea1-m4_hyp.trn.dtl
1,seeing,j-rea1-m4_hyp.trn.dtl
1,step,j-rea1-m4_hyp.trn.dtl
1,and,j-rea1-m5_hyp.trn.dtl
1,but,j-rea1-m5_hyp.trn.dtl
1,her,j-rea1-m5_hyp.trn.dtl
1,mhm,j-rea1-m5_hyp.trn.dtl
1,mm,j-rea1-m5_hyp.trn.dtl
1,she's,j-rea1-m5_hyp.trn.dtl
1,step,j-rea1-m5_hyp.trn.dtl
1,the,j-rea1-m5_hyp.trn.dtl
1,was,j-rea1-m5_hyp.trn.dtl
1,who,j-rea1-m5_hyp.trn.dtl
1,as,l-rea1-f1_hyp.trn.dtl
1,enough,l-rea1-f1_hyp.trn.dtl
1,had,l-rea1-f1_hyp.trn.dtl
1,soon,l-rea1-f1_hyp.trn.dtl
1,step,l-rea1-f1_hyp.trn.dtl
1,had,l-rea1-f2_hyp.trn.dtl
1,held,l-rea1-f2_hyp.trn.dtl
1,help,l-rea1-f2_hyp.trn.dtl
1,they,l-rea1-f2_hyp.trn.dtl
1,ha,l-rea1-f3_hyp.trn.dtl
1,step,l-rea1-f3_hyp.trn.dtl
1,they,l-rea1-f3_hyp.trn.dtl
1,hair,l-rea1-f5_hyp.trn.dtl
1,step,l-rea1-f6_hyp.trn.dtl
1,hair,l-rea1-m1_hyp.trn.dtl
1,how,l-rea1-m1_hyp.trn.dtl
1,sepsis,l-rea1-m1_hyp.trn.dtl
1,how,l-rea1-m2_hyp.trn.dtl
1,sin,l-rea1-m2_hyp.trn.dtl
1,soon,l-rea1-m2_hyp.trn.dtl
1,step,l-rea1-m2_hyp.trn.dtl
1,to,l-rea1-m2_hyp.trn.dtl
1,step,l-rea1-m3_hyp.trn.dtl
1,the,l-rea1-m3_hyp.trn.dtl
1,of,l-rea1-m4_hyp.trn.dtl
1,step,l-rea1-m4_hyp.trn.dtl
1,step,l-rea1-m5_hyp.trn.dtl
1,house,l-rea1-m6_hyp.trn.dtl
1,queens,l-rea1-m6_hyp.trn.dtl
1,i,liv-rea1-f1_hyp.trn.dtl
1,step,liv-rea1-f1_hyp.trn.dtl
1,clean,liv-rea1-f2_hyp.trn.dtl
1,rose,liv-rea1-f2_hyp.trn.dtl
1,since,liv-rea1-f2_hyp.trn.dtl
1,step,liv-rea1-f2_hyp.trn.dtl
1,they,liv-rea1-f2_hyp.trn.dtl
2,our,liv-rea1-f4_hyp.trn.dtl
1,here's,liv-rea1-f4_hyp.trn.dtl
1,in,liv-rea1-f4_hyp.trn.dtl
1,step,liv-rea1-f4_hyp.trn.dtl
1,they,liv-rea1-f4_hyp.trn.dtl
1,and,liv-rea1-f5_hyp.trn.dtl
1,betting,liv-rea1-f5_hyp.trn.dtl
1,he,liv-rea1-f5_hyp.trn.dtl
1,sends,liv-rea1-f5_hyp.trn.dtl
1,step,liv-rea1-f5_hyp.trn.dtl
1,was,liv-rea1-f5_hyp.trn.dtl
1,and,liv-rea1-f6_hyp.trn.dtl
1,step,liv-rea1-f6_hyp.trn.dtl
1,had,liv-rea1-f7_hyp.trn.dtl
1,help,liv-rea1-f7_hyp.trn.dtl
1,his,liv-rea1-f7_hyp.trn.dtl
