File	chunk	chunk_Start	chunk_End	words_Chunk	words_per_second	syllable_count	syllables_per_second
liv-rea1-m2	3	20.95	33.51	33	2.6273885350318475	99	7.882165605095542
liv-rea1-m2	5	38.13	90.1961875	144	2.765710471887346	426	8.181893479333398
liv-rea1-m3	1	0	64.089125	205	3.198670601291561	642	10.01730012697162
liv-rea1-m4	1	0	60.0655	220	3.66266825382291	675	11.2377321424112
liv-rea1-m5	1	0	58.745875	219	3.727921322135384	668	11.37101115610245
new-rea1-f1	1	0	61.31925	207	3.375775144020842	650	10.600260114075107
new-rea1-f2	1	0	49.597	211	4.254289573966167	654	13.186281428312196
new-rea1-f3	1	0	58.1115	213	3.6653674401796548	649	11.168185298951155
new-rea1-f4	1	0	57.6735	207	3.5891700694426385	649	11.25300181192402
new-rea1-f5	1	0	50.976	203	3.9822661644695545	642	12.594161958568739
new-rea1-f6	1	0	58.428875	217	3.713917134293618	654	11.193095879391825
new-rea1-m1	1	0	58.6375	208	3.547218077169047	646	11.01684075890002
new-rea1-m2	1	0	61.8493125	213	3.4438539636151977	649	10.493245175522363
new-rea1-m3	1	0	61.51125	214	3.4790383872868786	655	10.64845861529395
new-rea1-m4	1	0	66.51275	218	3.277567083002883	653	9.817666537618727
new-rea1-m5	1	0	68.395	233	3.406681774983552	695	10.1615615176548
new-rea1-m6	1	0	89.8444375	264	2.938412297366768	732	8.14741591542604
pun-rea1-f1	1	0	55.8614375	203	3.6339916959709457	647	11.582229691099517
pun-rea1-f2	1	0	46.9141875	202	4.305733739926755	639	13.620613167392062
pun-rea1-f3	1	0	56.2085625	217	3.8606217691477167	659	11.72419237727348
pun-rea1-f4	1	0	53.1225	208	3.9154783754529623	647	12.179396677490704
pun-rea1-f5	1	0	54.0325625	212	3.923559982926962	656	12.140827116981542
pun-rea1-f6	1	0	42.4876875	206	4.848463451911804	640	15.063187423415313
pun-rea1-f7	1	0	46.8481875	203	4.333145225735787	643	13.725184138660646
pun-rea1-m1	1	0	86.7445625	240	2.766744025021741	704	8.115782473397108
pun-rea1-m2	1	0	56.67075	210	3.7056153306599966	652	11.505053312334846
pun-rea1-m3	1	0	52.3874375	219	4.180391529935016	671	12.808414230988108
pun-rea1-m4	1	0	88.5285	246	2.7787661600501536	693	7.827987597214457
pun-rea1-m6	1	0	68.3754375	232	3.393031306015409	671	9.813465544553187
